season,round,race_date,circuit_id,driver_id,constructor_id,grid,power_unit,reg_reset,driver_prior_starts,driver_prior_dnf_rate,constructor_prev_season_dnf_rate,circuit_hist_dnf_rate,dnf,dnf_category,label_unsure,disqualified,status,position_text
2000,6,2000-05-21,nurburgring,michael_schumacher,ferrari,2,Ferrari,False,5,0.0,,,False,,False,False,Finished,1
2000,6,2000-05-21,nurburgring,hakkinen,mclaren,3,Mercedes,False,5,0.4,,,False,,False,False,Finished,2
2000,6,2000-05-21,nurburgring,coulthard,mclaren,1,Mercedes,False,5,0.2,,,False,,False,False,+1 Lap,3
2000,6,2000-05-21,nurburgring,barrichello,ferrari,4,Ferrari,False,5,0.4,,,False,,False,False,+1 Lap,4
2000,6,2000-05-21,nurburgring,fisichella,benetton,7,Supertec,False,5,0.0,,,False,,False,False,+1 Lap,5
2000,6,2000-05-21,nurburgring,rosa,arrows,12,Supertec,False,5,0.8,,,False,,False,False,+1 Lap,6
2000,6,2000-05-21,nurburgring,diniz,sauber,15,Ferrari,False,5,0.6,,,False,,False,False,+2 Laps,7
2000,6,2000-05-21,nurburgring,mazzacane,minardi,21,Ford,False,5,0.2,,,False,,False,False,+2 Laps,8
2000,6,2000-05-21,nurburgring,alesi,prost,17,Peugeot,False,5,0.8,,,False,,False,False,+2 Laps,9
2000,6,2000-05-21,nurburgring,button,williams,11,BMW,False,5,0.6,,,True,mechanical,False,False,Electrical,10
2000,6,2000-05-21,nurburgring,herbert,jaguar,16,Cosworth,False,5,0.4,,,True,accident,False,False,Collision,11
2000,6,2000-05-21,nurburgring,wurz,benetton,14,Supertec,False,5,0.2,,,True,accident,False,False,Collision,12
2000,6,2000-05-21,nurburgring,zonta,bar,18,Honda,False,5,0.2,,,True,accident,False,False,Spun off,R
2000,6,2000-05-21,nurburgring,gene,minardi,20,Ford,False,5,0.4,,,True,mechanical,False,False,Throttle,R
2000,6,2000-05-21,nurburgring,villeneuve,bar,9,Honda,False,5,0.4,,,True,mechanical,False,False,Engine,R
2000,6,2000-05-21,nurburgring,irvine,jaguar,8,Cosworth,False,5,0.4,,,True,accident,False,False,Collision,R
2000,6,2000-05-21,nurburgring,verstappen,arrows,13,Supertec,False,5,0.6,,,True,accident,False,False,Spun off,R
2000,6,2000-05-21,nurburgring,ralf_schumacher,williams,5,BMW,False,5,0.2,,,True,accident,False,False,Collision,R
2000,6,2000-05-21,nurburgring,salo,sauber,19,Ferrari,False,5,0.2,,,True,mechanical,False,False,Halfshaft,R
2000,6,2000-05-21,nurburgring,frentzen,jordan,10,Mugen-Honda,False,5,0.4,,,True,mechanical,False,False,Engine,R
2000,6,2000-05-21,nurburgring,trulli,jordan,6,Mugen-Honda,False,5,0.4,,,True,accident,False,False,Collision,R
2000,7,2000-06-04,monaco,coulthard,mclaren,3,Mercedes,False,6,0.16666666666666666,,,False,,False,False,Finished,1
2000,7,2000-06-04,monaco,barrichello,ferrari,6,Ferrari,False,6,0.3333333333333333,,,False,,False,False,Finished,2
2000,7,2000-06-04,monaco,fisichella,benetton,8,Supertec,False,6,0.0,,,False,,False,False,Finished,3
2000,7,2000-06-04,monaco,irvine,jaguar,10,Cosworth,False,6,0.5,,,False,,False,False,Finished,4
