season,round,race_name,race_date,circuit_id,circuit_name,driver_id,driver_code,driver_name,constructor_id,constructor_name,grid,position,position_text,laps,status
2000,4,British Grand Prix,2000-04-23,silverstone,Silverstone Circuit,ralf_schumacher,SCH,Ralf Schumacher,williams,Williams,7,4,4,60,Finished
2000,4,British Grand Prix,2000-04-23,silverstone,Silverstone Circuit,button,BUT,Jenson Button,williams,Williams,6,5,5,60,Finished
2000,4,British Grand Prix,2000-04-23,silverstone,Silverstone Circuit,trulli,TRU,Jarno Trulli,jordan,Jordan,11,6,6,60,Finished
2000,4,British Grand Prix,2000-04-23,silverstone,Silverstone Circuit,fisichella,FIS,Giancarlo Fisichella,benetton,Benetton,12,7,7,59,+1 Lap
2000,4,British Grand Prix,2000-04-23,silverstone,Silverstone Circuit,salo,,Mika Salo,sauber,Sauber,18,8,8,59,+1 Lap
2000,4,British Grand Prix,2000-04-23,silverstone,Silverstone Circuit,wurz,WUR,Alexander Wurz,benetton,Benetton,20,9,9,59,+1 Lap
2000,4,British Grand Prix,2000-04-23,silverstone,Silverstone Circuit,alesi,,Jean Alesi,prost,Prost,15,10,10,59,+1 Lap
2000,4,British Grand Prix,2000-04-23,silverstone,Silverstone Circuit,diniz,,Pedro Diniz,sauber,Sauber,13,11,11,59,+1 Lap
2000,4,British Grand Prix,2000-04-23,silverstone,Silverstone Circuit,herbert,,Johnny Herbert,jaguar,Jaguar,14,12,12,59,+1 Lap
2000,4,British Grand Prix,2000-04-23,silverstone,Silverstone Circuit,irvine,,Eddie Irvine,jaguar,Jaguar,9,13,13,59,+1 Lap
2000,4,British Grand Prix,2000-04-23,silverstone,Silverstone Circuit,gene,,Marc Gené,minardi,Minardi,21,14,14,59,+1 Lap
2000,4,British Grand Prix,2000-04-23,silverstone,Silverstone Circuit,mazzacane,,Gastón Mazzacane,minardi,Minardi,22,15,15,59,+1 Lap
2000,4,British Grand Prix,2000-04-23,silverstone,Silverstone Circuit,villeneuve,VIL,Jacques Villeneuve,bar,BAR,10,16,16,56,+4 Laps
2000,4,British Grand Prix,2000-04-23,silverstone,Silverstone Circuit,frentzen,,Heinz-Harald Frentzen,jordan,Jordan,2,17,17,54,+6 Laps
2000,4,British Grand Prix,2000-04-23,silverstone,Silverstone Circuit,heidfeld,HEI,Nick Heidfeld,prost,Prost,17,18,R,51,Engine
2000,4,British Grand Prix,2000-04-23,silverstone,Silverstone Circuit,zonta,ZON,Ricardo Zonta,bar,BAR,16,19,R,36,Spun off
2000,4,British Grand Prix,2000-04-23,silverstone,Silverstone Circuit,barrichello,BAR,Rubens Barrichello,ferrari,Ferrari,1,20,R,35,Hydraulics
2000,4,British Grand Prix,2000-04-23,silverstone,Silverstone Circuit,rosa,DLR,Pedro de la Rosa,arrows,Arrows,19,21,R,26,Electrical
2000,4,British Grand Prix,2000-04-23,silverstone,Silverstone Circuit,verstappen,,Jos Verstappen,arrows,Arrows,8,22,R,20,Electrical
2000,5,Spanish Grand Prix,2000-05-07,catalunya,Circuit de Barcelona-Catalunya,hakkinen,,Mika Häkkinen,mclaren,McLaren,2,1,1,65,Finished
2000,5,Spanish Grand Prix,2000-05-07,catalunya,Circuit de Barcelona-Catalunya,coulthard,COU,David Coulthard,mclaren,McLaren,4,2,2,65,Finished
2000,5,Spanish Grand Prix,2000-05-07,catalunya,Circuit de Barcelona-Catalunya,barrichello,BAR,Rubens Barrichello,ferrari,Ferrari,3,3,3,65,Finished
2000,5,Spanish Grand Prix,2000-05-07,catalunya,Circuit de Barcelona-Catalunya,ralf_schumacher,SCH,Ralf Schumacher,williams,Williams,5,4,4,65,Finished
2000,5,Spanish Grand Prix,2000-05-07,catalunya,Circuit de Barcelona-Catalunya,michael_schumacher,MSC,Michael Schumacher,ferrari,Ferrari,1,5,5,65,Finished
2000,5,Spanish Grand Prix,2000-05-07,catalunya,Circuit de Barcelona-Catalunya,frentzen,,Heinz-Harald Frentzen,jordan,Jordan,8,6,6,65,Finished
2000,5,Spanish Grand Prix,2000-05-07,catalunya,Circuit de Barcelona-Catalunya,salo,,Mika Salo,sauber,Sauber,12,7,7,64,+1 Lap
2000,5,Spanish Grand Prix,2000-05-07,catalunya,Circuit de Barcelona-Catalunya,zonta,ZON,Ricardo Zonta,bar,BAR,16,8,8,64,+1 Lap
2000,5,Spanish Grand Prix,2000-05-07,catalunya,Circuit de Barcelona-Catalunya,fisichella,FIS,Giancarlo Fisichella,benetton,Benetton,13,9,9,64,+1 Lap
2000,5,Spanish Grand Prix,2000-05-07,catalunya,Circuit de Barcelona-Catalunya,wurz,WUR,Alexander Wurz,benetton,Benetton,18,10,10,64,+1 Lap
